"ID","rh_bankssts_thickness","rh_caudalanteriorcingulate_thickness","rh_caudalmiddlefrontal_thickness","rh_cuneus_thickness","rh_entorhinal_thickness","rh_fusiform_thickness","rh_inferiorparietal_thickness","rh_inferiortemporal_thickness","rh_isthmuscingulate_thickness","rh_lateraloccipital_thickness","rh_lateralorbitofrontal_thickness","rh_lingual_thickness","rh_medialorbitofrontal_thickness","rh_middletemporal_thickness","rh_parahippocampal_thickness","rh_paracentral_thickness","rh_parsopercularis_thickness","rh_parsorbitalis_thickness","rh_parstriangularis_thickness","rh_pericalcarine_thickness","rh_postcentral_thickness","rh_posteriorcingulate_thickness","rh_precentral_thickness","rh_precuneus_thickness","rh_rostralanteriorcingulate_thickness","rh_rostralmiddlefrontal_thickness","rh_superiorfrontal_thickness","rh_superiorparietal_thickness","rh_superiortemporal_thickness","rh_supramarginal_thickness","rh_frontalpole_thickness","rh_temporalpole_thickness","rh_transversetemporal_thickness","rh_insula_thickness","rh_MeanThickness_thickness","BrainSegVolNotVent.x","eTIV.x","lh_bankssts_thickness","lh_caudalanteriorcingulate_thickness","lh_caudalmiddlefrontal_thickness","lh_cuneus_thickness","lh_entorhinal_thickness","lh_fusiform_thickness","lh_inferiorparietal_thickness","lh_inferiortemporal_thickness","lh_isthmuscingulate_thickness","lh_lateraloccipital_thickness","lh_lateralorbitofrontal_thickness","lh_lingual_thickness","lh_medialorbitofrontal_thickness","lh_middletemporal_thickness","lh_parahippocampal_thickness","lh_paracentral_thickness","lh_parsopercularis_thickness","lh_parsorbitalis_thickness","lh_parstriangularis_thickness","lh_pericalcarine_thickness","lh_postcentral_thickness","lh_posteriorcingulate_thickness","lh_precentral_thickness","lh_precuneus_thickness","lh_rostralanteriorcingulate_thickness","lh_rostralmiddlefrontal_thickness","lh_superiorfrontal_thickness","lh_superiorparietal_thickness","lh_superiortemporal_thickness","lh_supramarginal_thickness","lh_frontalpole_thickness","lh_temporalpole_thickness","lh_transversetemporal_thickness","lh_insula_thickness","lh_MeanThickness_thickness","BrainSegVolNotVent.y","eTIV.y"
"1_VERIO.long.template_1",2.769,2.771,2.501,2.153,4.198,2.854,2.667,2.954,2.823,2.419,2.724,2.363,2.525,2.946,3.269,2.685,2.581,2.752,2.469,1.801,2.176,2.601,2.675,2.519,2.919,2.366,2.831,2.365,2.937,2.659,2.649,3.875,2.824,3.086,2.60974,991662,1202175.22667,2.929,2.474,2.698,2.164,3.615,2.718,2.562,2.885,2.628,2.433,2.649,2.218,2.49,3.038,2.773,2.704,2.66,2.637,2.578,1.88,2.16,2.448,2.759,2.454,3.031,2.451,2.832,2.32,2.951,2.667,3.092,3.558,2.884,2.838,2.59294,991662,1202175.22667
"1_SKYRA.long.template_1",2.823,2.646,2.453,2.154,4.15,2.804,2.705,3.006,2.704,2.474,2.674,2.363,2.518,2.982,3.117,2.632,2.585,2.746,2.467,1.816,2.199,2.522,2.671,2.489,2.806,2.351,2.739,2.385,2.93,2.64,2.602,3.968,2.827,3.065,2.60031,978018,1202175.22667,2.941,2.393,2.652,2.223,3.805,2.734,2.57,2.972,2.597,2.509,2.698,2.233,2.513,3.147,2.866,2.662,2.645,2.626,2.604,1.885,2.167,2.386,2.747,2.461,2.962,2.419,2.749,2.358,2.965,2.655,3.185,3.638,2.854,2.941,2.60423,978018,1202175.22667
"2_VERIO.long.template_2",2.563,2.216,2.397,1.966,3.763,2.749,2.488,2.787,2.182,2.179,2.483,2.16,2.345,2.883,2.708,2.475,2.342,2.632,2.352,1.778,2.014,2.309,2.563,2.407,2.552,2.265,2.647,2.085,2.733,2.421,2.449,3.782,2.328,2.959,2.43039,1036210,1412157.62623,2.534,2.601,2.468,1.755,3.725,2.572,2.348,2.715,2.153,2.118,2.605,2.115,2.237,2.787,2.858,2.373,2.512,2.642,2.492,1.605,2.139,2.292,2.653,2.283,3.044,2.396,2.622,2.105,2.744,2.549,2.559,3.865,2.548,2.991,2.43791,1036210,1412157.62623
"2_SKYRA.long.template_2",2.562,2.116,2.365,1.945,3.804,2.755,2.464,2.793,2.105,2.172,2.431,2.15,2.299,2.854,2.675,2.414,2.304,2.622,2.326,1.819,2.008,2.206,2.512,2.354,2.508,2.211,2.543,2.08,2.689,2.437,2.37,3.734,2.321,2.864,2.39643,1014049,1412157.62623,2.61,2.574,2.449,1.79,3.702,2.619,2.374,2.743,2.121,2.167,2.551,2.138,2.324,2.821,2.829,2.281,2.488,2.597,2.479,1.586,2.127,2.262,2.606,2.296,2.933,2.341,2.573,2.118,2.716,2.535,2.441,3.77,2.585,2.958,2.43113,1014049,1412157.62623
"3_VERIO.long.template_3",2.6,2.767,2.45,1.965,3.706,2.821,2.445,2.881,2.293,2.401,2.588,2.247,2.474,2.917,2.751,2.42,2.588,2.544,2.398,2.034,2.23,2.335,2.543,2.422,2.736,2.267,2.573,2.257,2.832,2.521,2.61,3.203,2.563,3.019,2.51237,1315233,1661537.50185,2.461,2.748,2.613,1.977,3.653,2.743,2.458,2.916,2.487,2.285,2.711,2.371,2.33,2.934,2.813,2.432,2.788,2.748,2.502,2.177,2.314,2.352,2.721,2.423,2.921,2.441,2.679,2.255,3.064,2.534,2.75,3.679,2.709,2.833,2.57687,1315233,1661537.50185
"3_SKYRA.long.template_3",2.63,2.76,2.49,2.016,3.677,2.844,2.437,2.924,2.283,2.409,2.625,2.234,2.407,2.953,2.652,2.411,2.6,2.56,2.45,2.026,2.275,2.324,2.604,2.42,2.727,2.301,2.55,2.266,2.844,2.571,2.619,3.361,2.682,2.986,2.52721,1306044,1661537.50185,2.521,2.705,2.679,1.99,3.615,2.756,2.49,2.971,2.421,2.334,2.788,2.335,2.499,2.959,2.94,2.425,2.785,2.799,2.528,2.077,2.338,2.285,2.761,2.442,2.87,2.486,2.691,2.281,3.086,2.541,2.743,3.955,2.708,2.883,2.60471,1306044,1661537.50185
"4_VERIO.long.template_4",2.736,2.545,2.534,2.103,3.927,2.98,2.733,3.074,2.549,2.431,2.779,2.281,2.531,2.976,3.158,2.367,2.661,2.903,2.505,1.873,2.142,2.5,2.577,2.475,3.04,2.345,2.709,2.321,2.978,2.569,2.57,4.036,2.457,3.035,2.59738,1081313,1419321.88232,2.546,2.605,2.569,2.032,3.716,2.953,2.481,2.927,2.64,2.308,2.862,2.197,2.59,2.893,2.898,2.531,2.645,2.722,2.606,1.893,2.145,2.59,2.648,2.402,2.785,2.538,2.788,2.244,3.019,2.688,2.616,4.118,2.448,3.229,2.59718,1081313,1419321.88232
"4_SKYRA.long.template_4",2.731,2.524,2.515,2.179,3.872,2.94,2.701,3.057,2.547,2.515,2.768,2.343,2.502,2.977,3.119,2.35,2.64,2.951,2.519,2.059,2.189,2.407,2.571,2.462,3.045,2.363,2.651,2.351,2.968,2.575,2.551,3.871,2.546,3.065,2.60362,1073813,1419321.88232,2.585,2.609,2.617,2.136,3.74,2.98,2.548,2.932,2.633,2.414,2.878,2.2,2.584,2.928,2.928,2.574,2.64,2.73,2.591,1.981,2.232,2.549,2.676,2.497,2.761,2.513,2.797,2.342,3.037,2.726,2.508,4.187,2.447,3.162,2.63253,1073813,1419321.88232
"5_VERIO.long.template_5",2.737,2.481,2.537,2.159,3.344,2.848,2.631,2.783,2.2,2.508,2.606,2.221,2.44,2.953,2.878,2.682,2.534,2.522,2.439,1.958,2.231,2.409,2.611,2.525,3.036,2.344,2.751,2.413,2.912,2.692,2.626,3.66,2.604,3.031,2.58814,1320605,1707375.55722,2.532,2.916,2.519,1.944,3.337,2.753,2.461,2.78,2.223,2.363,2.539,2.106,2.302,2.762,2.778,2.532,2.681,2.713,2.625,1.874,2.203,2.433,2.682,2.52,2.895,2.49,2.793,2.312,2.807,2.59,2.73,3.304,2.69,3.089,2.55832,1320605,1707375.55722
"5_SKYRA.long.template_5",2.783,2.543,2.546,2.111,3.587,2.889,2.651,2.755,2.243,2.544,2.657,2.232,2.401,2.977,2.867,2.636,2.585,2.543,2.476,1.923,2.28,2.389,2.632,2.537,3.073,2.359,2.701,2.364,2.939,2.733,2.698,3.839,2.607,3.014,2.59748,1316234,1707375.55722,2.552,2.865,2.58,1.988,3.418,2.794,2.521,2.814,2.247,2.453,2.681,2.152,2.466,2.797,2.836,2.526,2.701,2.823,2.65,1.946,2.261,2.382,2.702,2.56,2.952,2.522,2.798,2.331,2.842,2.612,2.857,3.292,2.618,3.154,2.60165,1316234,1707375.55722
"6_VERIO.long.template_6",2.61,2.585,2.485,2.181,3.722,2.933,2.568,2.846,2.607,2.456,2.711,2.244,2.463,3.012,3.023,2.56,2.687,2.747,2.466,2.034,2.158,2.555,2.651,2.569,3.189,2.373,2.725,2.387,2.944,2.63,2.76,3.094,2.558,3.064,2.59152,1122389,1467170.71175,2.488,2.944,2.72,2.18,3.693,2.874,2.457,2.863,2.564,2.391,2.832,2.33,2.544,3.045,3.128,2.61,2.764,2.722,2.666,1.9,2.24,2.573,2.771,2.518,3.164,2.476,2.795,2.37,3.014,2.74,2.825,3.479,2.53,3.045,2.63048,1122389,1467170.71175
