"ID","rh_bankssts_thickness","rh_caudalanteriorcingulate_thickness","rh_caudalmiddlefrontal_thickness","rh_cuneus_thickness","rh_entorhinal_thickness","rh_fusiform_thickness","rh_inferiorparietal_thickness","rh_inferiortemporal_thickness","rh_isthmuscingulate_thickness","rh_lateraloccipital_thickness","rh_lateralorbitofrontal_thickness","rh_lingual_thickness","rh_medialorbitofrontal_thickness","rh_middletemporal_thickness","rh_parahippocampal_thickness","rh_paracentral_thickness","rh_parsopercularis_thickness","rh_parsorbitalis_thickness","rh_parstriangularis_thickness","rh_pericalcarine_thickness","rh_postcentral_thickness","rh_posteriorcingulate_thickness","rh_precentral_thickness","rh_precuneus_thickness","rh_rostralanteriorcingulate_thickness","rh_rostralmiddlefrontal_thickness","rh_superiorfrontal_thickness","rh_superiorparietal_thickness","rh_superiortemporal_thickness","rh_supramarginal_thickness","rh_frontalpole_thickness","rh_temporalpole_thickness","rh_transversetemporal_thickness","rh_insula_thickness","rh_MeanThickness_thickness","BrainSegVolNotVent.x","eTIV.x","lh_bankssts_thickness","lh_caudalanteriorcingulate_thickness","lh_caudalmiddlefrontal_thickness","lh_cuneus_thickness","lh_entorhinal_thickness","lh_fusiform_thickness","lh_inferiorparietal_thickness","lh_inferiortemporal_thickness","lh_isthmuscingulate_thickness","lh_lateraloccipital_thickness","lh_lateralorbitofrontal_thickness","lh_lingual_thickness","lh_medialorbitofrontal_thickness","lh_middletemporal_thickness","lh_parahippocampal_thickness","lh_paracentral_thickness","lh_parsopercularis_thickness","lh_parsorbitalis_thickness","lh_parstriangularis_thickness","lh_pericalcarine_thickness","lh_postcentral_thickness","lh_posteriorcingulate_thickness","lh_precentral_thickness","lh_precuneus_thickness","lh_rostralanteriorcingulate_thickness","lh_rostralmiddlefrontal_thickness","lh_superiorfrontal_thickness","lh_superiorparietal_thickness","lh_superiortemporal_thickness","lh_supramarginal_thickness","lh_frontalpole_thickness","lh_temporalpole_thickness","lh_transversetemporal_thickness","lh_insula_thickness","lh_MeanThickness_thickness","BrainSegVolNotVent.y","eTIV.y"
"1_unwarped_VERIO.long.template_1_unwarped",2.764,2.805,2.568,2.172,4.188,2.876,2.687,3.045,2.835,2.446,2.793,2.412,2.565,2.963,3.232,2.712,2.623,2.797,2.522,1.802,2.219,2.563,2.722,2.574,2.868,2.392,2.88,2.428,2.969,2.688,2.736,3.86,2.815,3.101,2.64711,998452,1434312.43864,2.981,2.502,2.734,2.254,3.688,2.765,2.603,2.965,2.567,2.504,2.73,2.252,2.581,3.15,2.844,2.759,2.712,2.823,2.636,1.857,2.222,2.424,2.824,2.511,2.923,2.49,2.876,2.41,2.968,2.674,3.182,3.513,2.868,2.763,2.63973,998452,1434312.43864
"1_unwarped_SKYRA.long.template_1_unwarped",2.753,2.746,2.528,2.129,4.219,2.821,2.657,3.044,2.701,2.432,2.744,2.364,2.524,2.969,3.147,2.671,2.594,2.811,2.513,1.788,2.199,2.494,2.702,2.504,2.803,2.382,2.83,2.393,2.927,2.627,2.72,3.887,2.837,3.066,2.61341,978809,1434312.43864,2.974,2.444,2.703,2.186,3.834,2.73,2.58,2.973,2.537,2.488,2.701,2.226,2.507,3.142,2.832,2.67,2.671,2.77,2.607,1.84,2.168,2.389,2.795,2.445,2.942,2.437,2.805,2.36,2.949,2.619,3.16,3.557,2.834,2.728,2.60204,978809,1434312.43864
"2_unwarped_VERIO.long.template_2_unwarped",2.583,2.153,2.387,1.989,3.853,2.73,2.477,2.796,2.199,2.159,2.475,2.127,2.286,2.882,2.763,2.487,2.34,2.648,2.347,1.786,2.016,2.317,2.556,2.399,2.505,2.259,2.622,2.134,2.725,2.435,2.422,3.73,2.276,2.791,2.42167,1037153,1433840.89061,2.486,2.692,2.525,1.742,3.518,2.594,2.369,2.687,2.233,2.109,2.598,2.086,2.414,2.803,2.847,2.41,2.504,2.683,2.525,1.613,2.17,2.308,2.666,2.312,3.124,2.422,2.651,2.136,2.747,2.541,2.615,3.887,2.513,2.807,2.45338,1037153,1433840.89061
"2_unwarped_SKYRA.long.template_2_unwarped",2.597,2.144,2.37,1.914,3.849,2.717,2.429,2.779,2.2,2.132,2.45,2.072,2.24,2.83,2.694,2.466,2.305,2.617,2.364,1.71,1.996,2.295,2.54,2.332,2.496,2.234,2.573,2.062,2.678,2.418,2.374,3.707,2.314,2.879,2.38857,1008661,1433840.89061,2.508,2.566,2.429,1.717,3.53,2.531,2.32,2.684,2.177,2.108,2.498,2.058,2.306,2.791,2.775,2.315,2.467,2.548,2.379,1.568,2.102,2.276,2.62,2.237,3.019,2.316,2.569,2.081,2.69,2.489,2.563,3.708,2.549,2.734,2.3942,1008661,1433840.89061
"3_unwarped_VERIO.long.template_3_unwarped",2.649,2.776,2.557,1.999,3.639,2.822,2.473,2.904,2.322,2.417,2.695,2.189,2.544,2.934,2.647,2.476,2.692,2.577,2.486,1.949,2.265,2.37,2.646,2.443,2.814,2.348,2.655,2.282,2.839,2.578,2.69,3.161,2.55,3.024,2.55082,1321219,1691745.47637,2.43,2.662,2.71,1.914,3.709,2.72,2.456,2.91,2.352,2.237,2.782,2.316,2.521,2.886,2.817,2.459,2.76,2.789,2.499,2.04,2.314,2.344,2.772,2.435,3.034,2.461,2.763,2.267,3.034,2.526,2.806,3.417,2.716,2.834,2.58693,1321219,1691745.47637
"3_unwarped_SKYRA.long.template_3_unwarped",2.643,2.719,2.548,1.963,3.627,2.814,2.413,2.883,2.301,2.372,2.654,2.209,2.466,2.924,2.566,2.407,2.672,2.541,2.472,1.888,2.264,2.288,2.646,2.389,2.801,2.321,2.603,2.248,2.819,2.566,2.656,3.322,2.625,2.963,2.52132,1291498,1691745.47637,2.454,2.623,2.703,1.917,3.62,2.714,2.48,2.928,2.298,2.263,2.789,2.307,2.457,2.897,2.874,2.427,2.78,2.736,2.511,2.002,2.308,2.309,2.781,2.422,2.887,2.46,2.736,2.268,3.068,2.514,2.762,3.574,2.67,2.918,2.58569,1291498,1691745.47637
"4_unwarped_VERIO.long.template_4_unwarped",2.734,2.483,2.532,2.117,4.075,2.994,2.711,3.072,2.645,2.407,2.775,2.28,2.497,2.989,3.167,2.396,2.663,2.881,2.539,1.892,2.182,2.465,2.608,2.497,2.913,2.369,2.722,2.364,2.966,2.58,2.651,4.015,2.521,3.054,2.60514,1080599,1441788.42672,2.494,2.573,2.574,2.076,3.747,2.974,2.475,2.897,2.596,2.324,2.829,2.213,2.391,2.831,2.943,2.502,2.622,2.763,2.57,1.946,2.205,2.526,2.666,2.437,2.748,2.541,2.803,2.3,2.96,2.722,2.597,4.012,2.428,3.184,2.59969,1080599,1441788.42672
"4_unwarped_SKYRA.long.template_4_unwarped",2.783,2.499,2.539,2.114,3.943,2.93,2.735,3.079,2.653,2.454,2.789,2.262,2.479,3.006,3.131,2.433,2.671,2.993,2.593,1.975,2.211,2.407,2.65,2.49,2.933,2.44,2.753,2.39,2.991,2.596,2.67,3.85,2.562,3.07,2.62561,1071402,1441788.42672,2.618,2.593,2.627,2.087,3.702,2.952,2.577,2.92,2.562,2.381,2.868,2.16,2.44,2.946,2.952,2.547,2.651,2.781,2.597,1.96,2.234,2.519,2.696,2.46,2.801,2.567,2.822,2.325,3.007,2.759,2.67,4.068,2.371,3.126,2.62766,1071402,1441788.42672
"5_unwarped_VERIO.long.template_5_unwarped",2.758,2.449,2.537,2.107,3.264,2.84,2.62,2.749,2.262,2.5,2.553,2.255,2.423,2.927,2.811,2.652,2.487,2.499,2.425,2.002,2.218,2.418,2.61,2.502,2.989,2.362,2.698,2.39,2.859,2.689,2.643,3.74,2.654,3.08,2.5754,1315874,1716794.34776,2.539,3.123,2.522,1.953,3.34,2.744,2.473,2.756,2.309,2.385,2.53,2.126,2.444,2.747,2.792,2.571,2.653,2.737,2.649,1.988,2.225,2.422,2.69,2.508,2.857,2.485,2.779,2.322,2.784,2.603,2.724,3.353,2.682,3.071,2.56751,1315874,1716794.34776
"5_unwarped_SKYRA.long.template_5_unwarped",2.752,2.501,2.571,2.031,3.454,2.846,2.587,2.73,2.225,2.459,2.687,2.195,2.432,2.942,2.821,2.596,2.583,2.628,2.524,1.839,2.237,2.379,2.631,2.458,3.023,2.419,2.73,2.334,2.886,2.685,2.749,3.85,2.645,3.124,2.57886,1308417,1716794.34776,2.545,3.079,2.568,1.912,3.451,2.767,2.502,2.834,2.289,2.407,2.701,2.076,2.587,2.834,2.819,2.487,2.693,2.86,2.707,1.874,2.228,2.317,2.707,2.51,2.943,2.554,2.839,2.331,2.833,2.628,2.788,3.41,2.62,3.154,2.60246,1308417,1716794.34776
